 On 2022/6/20 
-,h,m,s,ms,x,y,z,Lat,Lon,Speed,Angle,Altitude
data,13,55,14,3225,-0.12,1.49,1.08,5126.9052,529.2201,0.00,97.82,22.10
data,13,55,14,3235,-0.12,1.49,1.08,5126.9052,529.2201,0.00,97.82,22.10
data,13,55,14,3245,-0.12,1.49,1.08,5126.9052,529.2201,0.00,97.82,22.10
data,13,55,14,3255,-0.11,1.49,1.08,5126.9052,529.2201,0.00,97.82,22.10
data,13,55,14,3265,-0.12,1.49,1.08,5126.9052,529.2201,0.00,97.82,22.10
data,13,55,14,3283,-0.11,1.49,1.08,5126.9052,529.2201,0.00,97.82,22.10
data,13,55,14,3293,-0.12,1.49,1.09,5126.9052,529.2201,0.00,97.82,22.10
data,13,55,14,3303,-0.12,1.49,1.09,5126.9052,529.2201,0.00,97.82,22.10
data,13,55,14,3313,-0.11,1.49,1.08,5126.9052,529.2201,0.00,97.82,22.10
data,13,55,14,3323,-0.11,1.49,1.09,5126.9052,529.2201,0.00,97.82,22.10
data,13,55,14,3333,-0.11,1.49,1.09,5126.9052,529.2201,0.00,97.82,22.10
data,13,55,14,3343,-0.12,1.49,1.08,5126.9052,529.2201,0.00,97.82,22.10
